state,x,y
"Andhra Pradesh",-46,-106
"Arunachal Pradesh",157,107
"Assam",141,74
"Bihar",40,59
"Chhattisgarh",-1,2
"Goa",-118,-98
"Gujrat",-143,19
"Haryana",-81,108
"Himachal Pradesh",-70,155
"Jharkhand",50,59
"Karnataka",-98,-107
"Kerala",-80,-181
"Madhya Pradesh",-70,17
"Maharashtra",-104,-37
"Manipur",155,52
"Meghalaya",120,61
"Mizoram",145,29
"Nagaland",164,76
"Odisha",26,-12
"Punjab",-97,136
"Rajasthan",-124,71
"Sikkim",79,90
"Tamil Nadu",-57,-162
"Telangana",-43,-61
"Tripura",127,39
"Uttar Pradesh",-22,68
"Uttarakhand",-36,122
"West Bengal",75,23
"Delhi",-73,103
"Jammu",-108,186
"Kashmir",-72,190
